#{"t_start": 1789168584.9362738, "env_id": "AdroitHandDoor-v1"}
r,l,t
141.565594,200,1027.416387
-40.232784,200,1028.526091
-40.466125,200,1029.642222
-43.325404,200,1030.746003
-46.702826,200,1031.856215
-43.245039,200,1032.982637
-44.673734,200,1034.090582
3100.749596,200,1035.199264
-45.362579,200,1036.386999
-44.508738,200,1037.592818
-42.589538,200,1038.700248
-42.226054,200,1039.812248
-42.543866,200,1040.929397
-43.323735,200,1042.077108
-47.344301,200,1043.24039
-45.844186,200,1044.389127
-46.303008,200,1045.515716
-46.216462,200,1046.64346
-44.066085,200,1047.769305
-45.548726,200,1048.944482
-45.90281,200,1050.126054
2694.254174,200,1051.237686
-47.245749,200,1052.430902
2693.636787,200,1053.53555
-44.796319,200,1054.745197
-48.94936,200,1055.864683
-45.06104,200,1057.037762
-46.1068,200,1058.277255
-46.8931,200,1059.394259
-41.216575,200,1060.526835
-44.073647,200,1061.730951
-47.102117,200,1062.851714
317.946675,200,1063.959675
-46.524608,200,1065.150873
-45.588592,200,1066.313591
281.135045,200,1067.425394
-41.187353,200,1068.637993
-47.125588,200,1069.81477
-48.133871,200,1070.947559
327.898984,200,1072.062055
165.974605,200,1073.247287
-45.302314,200,1074.401535
-45.743616,200,1075.561693
-46.584397,200,1076.70545
-45.966914,200,1077.868226
-46.205632,200,1078.997711
-44.936196,200,1080.151119
-48.63791,200,1081.274123
1956.185146,200,1082.895176
247.51729,200,1083.98084
-45.714755,200,1085.101228
3055.917481,200,1086.206026
-46.332663,200,1087.328259
-45.826529,200,1088.43862
93.258265,200,1089.54638
-43.115478,200,1090.649912
-42.18152,200,1091.748845
-43.628448,200,1092.848268
-43.888504,200,1093.958611
-44.118974,200,1095.05988
-45.113398,200,1096.168103
-46.72773,200,1097.274387
-45.893153,200,1098.370795
-45.597545,200,1099.456745
-47.282656,200,1100.575619
-45.363757,200,1101.680969
-46.614838,200,1102.77994
-45.476238,200,1103.883254
-44.299415,200,1104.974949
-44.929265,200,1106.085812
-45.806577,200,1107.202697
-44.895992,200,1108.308503
-43.455589,200,1109.41463
-44.694708,200,1110.520176
1727.142477,200,1111.644326
-44.548481,200,1112.755672
125.637659,200,1113.873138
49.249342,200,1115.002229
-47.017507,200,1116.154403
-46.268052,200,1117.281164
-47.593702,200,1118.398915
137.592885,200,1119.507586
-47.798132,200,1120.632853
-46.426616,200,1121.794253
-46.088244,200,1122.999159
-45.937479,200,1124.157811
-29.351598,200,1125.254194
-35.218659,200,1126.390217
-29.788796,200,1127.496351
-30.267179,200,1128.599321
-31.551421,200,1129.710218
-30.768993,200,1130.809118
-30.995806,200,1131.908943
-30.404954,200,1133.010432
-43.0154,200,1134.186416
-41.698396,200,1135.306888
-42.414777,200,1136.417769
-41.597134,200,1137.524687
-40.795735,200,1138.635873
-41.173244,200,1139.7437
-41.522834,200,1140.883101
